term,definition
ACL (access control list) analysis,"Mechanism or policy for establishing, verifying, and managing identities and permissions so that entities access resources appropriate to their roles; includes authentication factors, credential management, provisioning, and lifecycle controls to reduce unauthorized access risks. access resources appropriate to their roles; includes authentication factors, credential management, provisioning, and lifecycle controls to reduce unauthorized access risks."
ACL (access control list) management,"Mechanism or policy for establishing, verifying, and managing identities and permissions so that entities access resources appropriate to their roles; includes authentication factors, credential management, provisioning, and lifecycle controls to reduce unauthorized access risks. access resources appropriate to their roles; includes authentication factors, credential management, provisioning, and lifecycle controls to reduce unauthorized access risks."
ACL (access control list) monitoring,"Mechanism or policy for establishing, verifying, and managing identities and permissions so that entities access resources appropriate to their roles; includes authentication factors, credential management, provisioning, and lifecycle controls to reduce unauthorized access risks. access resources appropriate to their roles; includes authentication factors, credential management, provisioning, and lifecycle controls to reduce unauthorized access risks."
ACL (access control list) policy,"Mechanism or policy for establishing, verifying, and managing identities and permissions so that entities access resources appropriate to their roles; includes authentication factors, credential management, provisioning, and lifecycle controls to reduce unauthorized access risks. access resources appropriate to their roles; includes authentication factors, credential management, provisioning, and lifecycle controls to reduce unauthorized access risks."
ACL (access control list) process,"Mechanism or policy for establishing, verifying, and managing identities and permissions so that entities access resources appropriate to their roles; includes authentication factors, credential management, provisioning, and lifecycle controls to reduce unauthorized access risks. access resources appropriate to their roles; includes authentication factors, credential management, provisioning, and lifecycle controls to reduce unauthorized access risks."
active defense,"Technical concept or practice within cybersecurity and information assurance encompassing preventive, detective, and corrective measures to protect systems, data, and operations; typically implemented through policies, technologies, and procedures tailored to organizational risk profiles. corrective measures to protect systems, data, and operations; typically implemented through policies, technologies, and procedures tailored to organizational risk profiles."
active defense analysis,"Technical concept or practice within cybersecurity and information assurance encompassing preventive, detective, and corrective measures to protect systems, data, and operations; typically implemented through policies, technologies, and procedures tailored to organizational risk profiles. corrective measures to protect systems, data, and operations; typically implemented through policies, technologies, and procedures tailored to organizational risk profiles."
active defense management,"Technical concept or practice within cybersecurity and information assurance encompassing preventive, detective, and corrective measures to protect systems, data, and operations; typically implemented through policies, technologies, and procedures tailored to organizational risk profiles. corrective measures to protect systems, data, and operations; typically implemented through policies, technologies, and procedures tailored to organizational risk profiles."
active defense monitoring,"Operational practice and tooling for collecting, correlating, and analyzing telemetry from diverse sources to detect, investigate, and respond to security events; combines automated correlation, alerting, and human analysis to reduce dwell time and support incident containment. and respond to security events; combines automated correlation, alerting, and human analysis to reduce dwell time and support incident containment."
active defense policy,"Organizational process or document that defines risk acceptance, controls, and compliance obligations; it structures responsibilities, assessments, and remediation to ensure security objectives align with business goals and regulatory requirements. and compliance obligations; it structures responsibilities, assessments, and remediation to ensure security objectives align with business goals and regulatory requirements."
active defense process,"Technical concept or practice within cybersecurity and information assurance encompassing preventive, detective, and corrective measures to protect systems, data, and operations; typically implemented through policies, technologies, and procedures tailored to organizational risk profiles. corrective measures to protect systems, data, and operations; typically implemented through policies, technologies, and procedures tailored to organizational risk profiles."
advanced persistent threat,"Entity, behavior, or information concerning malicious activity that threatens systems or data; analysis includes profiling actors, mapping TTPs, and producing actionable intelligence to prioritize defenses, detect campaigns, and inform response and mitigation strategies. includes profiling actors, mapping TTPs, and producing actionable intelligence to prioritize defenses, detect campaigns, and inform response and mitigation strategies."
advanced persistent threat analysis,"Entity, behavior, or information concerning malicious activity that threatens systems or data; analysis includes profiling actors, mapping TTPs, and producing actionable intelligence to prioritize defenses, detect campaigns, and inform response and mitigation strategies. includes profiling actors, mapping TTPs, and producing actionable intelligence to prioritize defenses, detect campaigns, and inform response and mitigation strategies."
advanced persistent threat management,"Entity, behavior, or information concerning malicious activity that threatens systems or data; analysis includes profiling actors, mapping TTPs, and producing actionable intelligence to prioritize defenses, detect campaigns, and inform response and mitigation strategies. includes profiling actors, mapping TTPs, and producing actionable intelligence to prioritize defenses, detect campaigns, and inform response and mitigation strategies."
advanced persistent threat monitoring,"Entity, behavior, or information concerning malicious activity that threatens systems or data; analysis includes profiling actors, mapping TTPs, and producing actionable intelligence to prioritize defenses, detect campaigns, and inform response and mitigation strategies. includes profiling actors, mapping TTPs, and producing actionable intelligence to prioritize defenses, detect campaigns, and inform response and mitigation strategies."
advanced persistent threat policy,"Entity, behavior, or information concerning malicious activity that threatens systems or data; analysis includes profiling actors, mapping TTPs, and producing actionable intelligence to prioritize defenses, detect campaigns, and inform response and mitigation strategies. includes profiling actors, mapping TTPs, and producing actionable intelligence to prioritize defenses, detect campaigns, and inform response and mitigation strategies."
advanced persistent threat process,"Entity, behavior, or information concerning malicious activity that threatens systems or data; analysis includes profiling actors, mapping TTPs, and producing actionable intelligence to prioritize defenses, detect campaigns, and inform response and mitigation strategies. includes profiling actors, mapping TTPs, and producing actionable intelligence to prioritize defenses, detect campaigns, and inform response and mitigation strategies."
anomaly detection,"Operational practice and tooling for collecting, correlating, and analyzing telemetry from diverse sources to detect, investigate, and respond to security events; combines automated correlation, alerting, and human analysis to reduce dwell time and support incident containment. and respond to security events; combines automated correlation, alerting, and human analysis to reduce dwell time and support incident containment."
anomaly detection analysis,"Operational practice and tooling for collecting, correlating, and analyzing telemetry from diverse sources to detect, investigate, and respond to security events; combines automated correlation, alerting, and human analysis to reduce dwell time and support incident containment. and respond to security events; combines automated correlation, alerting, and human analysis to reduce dwell time and support incident containment."
anomaly detection management,"Operational practice and tooling for collecting, correlating, and analyzing telemetry from diverse sources to detect, investigate, and respond to security events; combines automated correlation, alerting, and human analysis to reduce dwell time and support incident containment. and respond to security events; combines automated correlation, alerting, and human analysis to reduce dwell time and support incident containment."
anomaly detection monitoring,"Operational practice and tooling for collecting, correlating, and analyzing telemetry from diverse sources to detect, investigate, and respond to security events; combines automated correlation, alerting, and human analysis to reduce dwell time and support incident containment. and respond to security events; combines automated correlation, alerting, and human analysis to reduce dwell time and support incident containment."
anomaly detection policy,"Operational practice and tooling for collecting, correlating, and analyzing telemetry from diverse sources to detect, investigate, and respond to security events; combines automated correlation, alerting, and human analysis to reduce dwell time and support incident containment. and respond to security events; combines automated correlation, alerting, and human analysis to reduce dwell time and support incident containment."
anomaly detection process,"Operational practice and tooling for collecting, correlating, and analyzing telemetry from diverse sources to detect, investigate, and respond to security events; combines automated correlation, alerting, and human analysis to reduce dwell time and support incident containment. and respond to security events; combines automated correlation, alerting, and human analysis to reduce dwell time and support incident containment."
antivirus,"Class or technique of software designed to perform unauthorized or harmful activities on systems, including propagation, data theft, sabotage, or encryption; analysis involves behavior observation, static and dynamic inspection, and identification of indicators of compromise for remediation. theft, sabotage, or encryption; analysis involves behavior observation, static and dynamic inspection, and identification of indicators of compromise for remediation."
antivirus analysis,"Class or technique of software designed to perform unauthorized or harmful activities on systems, including propagation, data theft, sabotage, or encryption; analysis involves behavior observation, static and dynamic inspection, and identification of indicators of compromise for remediation. theft, sabotage, or encryption; analysis involves behavior observation, static and dynamic inspection, and identification of indicators of compromise for remediation."
antivirus management,"Class or technique of software designed to perform unauthorized or harmful activities on systems, including propagation, data theft, sabotage, or encryption; analysis involves behavior observation, static and dynamic inspection, and identification of indicators of compromise for remediation. theft, sabotage, or encryption; analysis involves behavior observation, static and dynamic inspection, and identification of indicators of compromise for remediation."
antivirus monitoring,"Class or technique of software designed to perform unauthorized or harmful activities on systems, including propagation, data theft, sabotage, or encryption; analysis involves behavior observation, static and dynamic inspection, and identification of indicators of compromise for remediation. theft, sabotage, or encryption; analysis involves behavior observation, static and dynamic inspection, and identification of indicators of compromise for remediation."
antivirus policy,"Class or technique of software designed to perform unauthorized or harmful activities on systems, including propagation, data theft, sabotage, or encryption; analysis involves behavior observation, static and dynamic inspection, and identification of indicators of compromise for remediation. theft, sabotage, or encryption; analysis involves behavior observation, static and dynamic inspection, and identification of indicators of compromise for remediation."
antivirus process,"Class or technique of software designed to perform unauthorized or harmful activities on systems, including propagation, data theft, sabotage, or encryption; analysis involves behavior observation, static and dynamic inspection, and identification of indicators of compromise for remediation. theft, sabotage, or encryption; analysis involves behavior observation, static and dynamic inspection, and identification of indicators of compromise for remediation."
application security,"Technical concept or practice within cybersecurity and information assurance encompassing preventive, detective, and corrective measures to protect systems, data, and operations; typically implemented through policies, technologies, and procedures tailored to organizational risk profiles. corrective measures to protect systems, data, and operations; typically implemented through policies, technologies, and procedures tailored to organizational risk profiles."
application security analysis,"Technical concept or practice within cybersecurity and information assurance encompassing preventive, detective, and corrective measures to protect systems, data, and operations; typically implemented through policies, technologies, and procedures tailored to organizational risk profiles. corrective measures to protect systems, data, and operations; typically implemented through policies, technologies, and procedures tailored to organizational risk profiles."
application security management,"Technical concept or practice within cybersecurity and information assurance encompassing preventive, detective, and corrective measures to protect systems, data, and operations; typically implemented through policies, technologies, and procedures tailored to organizational risk profiles. corrective measures to protect systems, data, and operations; typically implemented through policies, technologies, and procedures tailored to organizational risk profiles."
application security monitoring,"Operational practice and tooling for collecting, correlating, and analyzing telemetry from diverse sources to detect, investigate, and respond to security events; combines automated correlation, alerting, and human analysis to reduce dwell time and support incident containment. and respond to security events; combines automated correlation, alerting, and human analysis to reduce dwell time and support incident containment."
application security policy,"Organizational process or document that defines risk acceptance, controls, and compliance obligations; it structures responsibilities, assessments, and remediation to ensure security objectives align with business goals and regulatory requirements. and compliance obligations; it structures responsibilities, assessments, and remediation to ensure security objectives align with business goals and regulatory requirements."
application security process,"Technical concept or practice within cybersecurity and information assurance encompassing preventive, detective, and corrective measures to protect systems, data, and operations; typically implemented through policies, technologies, and procedures tailored to organizational risk profiles. corrective measures to protect systems, data, and operations; typically implemented through policies, technologies, and procedures tailored to organizational risk profiles."
attack vector,"Entity, behavior, or information concerning malicious activity that threatens systems or data; analysis includes profiling actors, mapping TTPs, and producing actionable intelligence to prioritize defenses, detect campaigns, and inform response and mitigation strategies. includes profiling actors, mapping TTPs, and producing actionable intelligence to prioritize defenses, detect campaigns, and inform response and mitigation strategies."
attack vector analysis,"Entity, behavior, or information concerning malicious activity that threatens systems or data; analysis includes profiling actors, mapping TTPs, and producing actionable intelligence to prioritize defenses, detect campaigns, and inform response and mitigation strategies. includes profiling actors, mapping TTPs, and producing actionable intelligence to prioritize defenses, detect campaigns, and inform response and mitigation strategies."
attack vector management,"Entity, behavior, or information concerning malicious activity that threatens systems or data; analysis includes profiling actors, mapping TTPs, and producing actionable intelligence to prioritize defenses, detect campaigns, and inform response and mitigation strategies. includes profiling actors, mapping TTPs, and producing actionable intelligence to prioritize defenses, detect campaigns, and inform response and mitigation strategies."
attack vector monitoring,"Entity, behavior, or information concerning malicious activity that threatens systems or data; analysis includes profiling actors, mapping TTPs, and producing actionable intelligence to prioritize defenses, detect campaigns, and inform response and mitigation strategies. includes profiling actors, mapping TTPs, and producing actionable intelligence to prioritize defenses, detect campaigns, and inform response and mitigation strategies."
attack vector policy,"Entity, behavior, or information concerning malicious activity that threatens systems or data; analysis includes profiling actors, mapping TTPs, and producing actionable intelligence to prioritize defenses, detect campaigns, and inform response and mitigation strategies. includes profiling actors, mapping TTPs, and producing actionable intelligence to prioritize defenses, detect campaigns, and inform response and mitigation strategies."
attack vector process,"Entity, behavior, or information concerning malicious activity that threatens systems or data; analysis includes profiling actors, mapping TTPs, and producing actionable intelligence to prioritize defenses, detect campaigns, and inform response and mitigation strategies. includes profiling actors, mapping TTPs, and producing actionable intelligence to prioritize defenses, detect campaigns, and inform response and mitigation strategies."
authentication,"Mechanism or policy for establishing, verifying, and managing identities and permissions so that entities access resources appropriate to their roles; includes authentication factors, credential management, provisioning, and lifecycle controls to reduce unauthorized access risks. access resources appropriate to their roles; includes authentication factors, credential management, provisioning, and lifecycle controls to reduce unauthorized access risks."
authentication analysis,"Mechanism or policy for establishing, verifying, and managing identities and permissions so that entities access resources appropriate to their roles; includes authentication factors, credential management, provisioning, and lifecycle controls to reduce unauthorized access risks. access resources appropriate to their roles; includes authentication factors, credential management, provisioning, and lifecycle controls to reduce unauthorized access risks."
authentication management,"Mechanism or policy for establishing, verifying, and managing identities and permissions so that entities access resources appropriate to their roles; includes authentication factors, credential management, provisioning, and lifecycle controls to reduce unauthorized access risks. access resources appropriate to their roles; includes authentication factors, credential management, provisioning, and lifecycle controls to reduce unauthorized access risks."
authentication monitoring,"Mechanism or policy for establishing, verifying, and managing identities and permissions so that entities access resources appropriate to their roles; includes authentication factors, credential management, provisioning, and lifecycle controls to reduce unauthorized access risks. access resources appropriate to their roles; includes authentication factors, credential management, provisioning, and lifecycle controls to reduce unauthorized access risks."
authentication policy,"Mechanism or policy for establishing, verifying, and managing identities and permissions so that entities access resources appropriate to their roles; includes authentication factors, credential management, provisioning, and lifecycle controls to reduce unauthorized access risks. access resources appropriate to their roles; includes authentication factors, credential management, provisioning, and lifecycle controls to reduce unauthorized access risks."
authentication process,"Mechanism or policy for establishing, verifying, and managing identities and permissions so that entities access resources appropriate to their roles; includes authentication factors, credential management, provisioning, and lifecycle controls to reduce unauthorized access risks. access resources appropriate to their roles; includes authentication factors, credential management, provisioning, and lifecycle controls to reduce unauthorized access risks."
authorization,"Mechanism or policy for establishing, verifying, and managing identities and permissions so that entities access resources appropriate to their roles; includes authentication factors, credential management, provisioning, and lifecycle controls to reduce unauthorized access risks. access resources appropriate to their roles; includes authentication factors, credential management, provisioning, and lifecycle controls to reduce unauthorized access risks."
authorization analysis,"Mechanism or policy for establishing, verifying, and managing identities and permissions so that entities access resources appropriate to their roles; includes authentication factors, credential management, provisioning, and lifecycle controls to reduce unauthorized access risks. access resources appropriate to their roles; includes authentication factors, credential management, provisioning, and lifecycle controls to reduce unauthorized access risks."
authorization management,"Mechanism or policy for establishing, verifying, and managing identities and permissions so that entities access resources appropriate to their roles; includes authentication factors, credential management, provisioning, and lifecycle controls to reduce unauthorized access risks. access resources appropriate to their roles; includes authentication factors, credential management, provisioning, and lifecycle controls to reduce unauthorized access risks."
authorization monitoring,"Mechanism or policy for establishing, verifying, and managing identities and permissions so that entities access resources appropriate to their roles; includes authentication factors, credential management, provisioning, and lifecycle controls to reduce unauthorized access risks. access resources appropriate to their roles; includes authentication factors, credential management, provisioning, and lifecycle controls to reduce unauthorized access risks."
authorization policy,"Mechanism or policy for establishing, verifying, and managing identities and permissions so that entities access resources appropriate to their roles; includes authentication factors, credential management, provisioning, and lifecycle controls to reduce unauthorized access risks. access resources appropriate to their roles; includes authentication factors, credential management, provisioning, and lifecycle controls to reduce unauthorized access risks."
authorization process,"Mechanism or policy for establishing, verifying, and managing identities and permissions so that entities access resources appropriate to their roles; includes authentication factors, credential management, provisioning, and lifecycle controls to reduce unauthorized access risks. access resources appropriate to their roles; includes authentication factors, credential management, provisioning, and lifecycle controls to reduce unauthorized access risks."
backup,"Technical concept or practice within cybersecurity and information assurance encompassing preventive, detective, and corrective measures to protect systems, data, and operations; typically implemented through policies, technologies, and procedures tailored to organizational risk profiles. corrective measures to protect systems, data, and operations; typically implemented through policies, technologies, and procedures tailored to organizational risk profiles."
backup analysis,"Technical concept or practice within cybersecurity and information assurance encompassing preventive, detective, and corrective measures to protect systems, data, and operations; typically implemented through policies, technologies, and procedures tailored to organizational risk profiles. corrective measures to protect systems, data, and operations; typically implemented through policies, technologies, and procedures tailored to organizational risk profiles."
backup management,"Technical concept or practice within cybersecurity and information assurance encompassing preventive, detective, and corrective measures to protect systems, data, and operations; typically implemented through policies, technologies, and procedures tailored to organizational risk profiles. corrective measures to protect systems, data, and operations; typically implemented through policies, technologies, and procedures tailored to organizational risk profiles."
backup monitoring,"Operational practice and tooling for collecting, correlating, and analyzing telemetry from diverse sources to detect, investigate, and respond to security events; combines automated correlation, alerting, and human analysis to reduce dwell time and support incident containment. and respond to security events; combines automated correlation, alerting, and human analysis to reduce dwell time and support incident containment."
backup policy,"Organizational process or document that defines risk acceptance, controls, and compliance obligations; it structures responsibilities, assessments, and remediation to ensure security objectives align with business goals and regulatory requirements. and compliance obligations; it structures responsibilities, assessments, and remediation to ensure security objectives align with business goals and regulatory requirements."
backup process,"Technical concept or practice within cybersecurity and information assurance encompassing preventive, detective, and corrective measures to protect systems, data, and operations; typically implemented through policies, technologies, and procedures tailored to organizational risk profiles. corrective measures to protect systems, data, and operations; typically implemented through policies, technologies, and procedures tailored to organizational risk profiles."
baseline,"Technical concept or practice within cybersecurity and information assurance encompassing preventive, detective, and corrective measures to protect systems, data, and operations; typically implemented through policies, technologies, and procedures tailored to organizational risk profiles. corrective measures to protect systems, data, and operations; typically implemented through policies, technologies, and procedures tailored to organizational risk profiles."
baseline analysis,"Technical concept or practice within cybersecurity and information assurance encompassing preventive, detective, and corrective measures to protect systems, data, and operations; typically implemented through policies, technologies, and procedures tailored to organizational risk profiles. corrective measures to protect systems, data, and operations; typically implemented through policies, technologies, and procedures tailored to organizational risk profiles."
baseline management,"Technical concept or practice within cybersecurity and information assurance encompassing preventive, detective, and corrective measures to protect systems, data, and operations; typically implemented through policies, technologies, and procedures tailored to organizational risk profiles. corrective measures to protect systems, data, and operations; typically implemented through policies, technologies, and procedures tailored to organizational risk profiles."
baseline monitoring,"Operational practice and tooling for collecting, correlating, and analyzing telemetry from diverse sources to detect, investigate, and respond to security events; combines automated correlation, alerting, and human analysis to reduce dwell time and support incident containment. and respond to security events; combines automated correlation, alerting, and human analysis to reduce dwell time and support incident containment."
baseline policy,"Organizational process or document that defines risk acceptance, controls, and compliance obligations; it structures responsibilities, assessments, and remediation to ensure security objectives align with business goals and regulatory requirements. and compliance obligations; it structures responsibilities, assessments, and remediation to ensure security objectives align with business goals and regulatory requirements."
baseline process,"Technical concept or practice within cybersecurity and information assurance encompassing preventive, detective, and corrective measures to protect systems, data, and operations; typically implemented through policies, technologies, and procedures tailored to organizational risk profiles. corrective measures to protect systems, data, and operations; typically implemented through policies, technologies, and procedures tailored to organizational risk profiles."
behavioral analytics,"Technical concept or practice within cybersecurity and information assurance encompassing preventive, detective, and corrective measures to protect systems, data, and operations; typically implemented through policies, technologies, and procedures tailored to organizational risk profiles. corrective measures to protect systems, data, and operations; typically implemented through policies, technologies, and procedures tailored to organizational risk profiles."
behavioral analytics analysis,"Technical concept or practice within cybersecurity and information assurance encompassing preventive, detective, and corrective measures to protect systems, data, and operations; typically implemented through policies, technologies, and procedures tailored to organizational risk profiles. corrective measures to protect systems, data, and operations; typically implemented through policies, technologies, and procedures tailored to organizational risk profiles."
behavioral analytics management,"Technical concept or practice within cybersecurity and information assurance encompassing preventive, detective, and corrective measures to protect systems, data, and operations; typically implemented through policies, technologies, and procedures tailored to organizational risk profiles. corrective measures to protect systems, data, and operations; typically implemented through policies, technologies, and procedures tailored to organizational risk profiles."
behavioral analytics monitoring,"Operational practice and tooling for collecting, correlating, and analyzing telemetry from diverse sources to detect, investigate, and respond to security events; combines automated correlation, alerting, and human analysis to reduce dwell time and support incident containment. and respond to security events; combines automated correlation, alerting, and human analysis to reduce dwell time and support incident containment."
behavioral analytics policy,"Organizational process or document that defines risk acceptance, controls, and compliance obligations; it structures responsibilities, assessments, and remediation to ensure security objectives align with business goals and regulatory requirements. and compliance obligations; it structures responsibilities, assessments, and remediation to ensure security objectives align with business goals and regulatory requirements."
behavioral analytics process,"Technical concept or practice within cybersecurity and information assurance encompassing preventive, detective, and corrective measures to protect systems, data, and operations; typically implemented through policies, technologies, and procedures tailored to organizational risk profiles. corrective measures to protect systems, data, and operations; typically implemented through policies, technologies, and procedures tailored to organizational risk profiles."
binary analysis,"Technical concept or practice within cybersecurity and information assurance encompassing preventive, detective, and corrective measures to protect systems, data, and operations; typically implemented through policies, technologies, and procedures tailored to organizational risk profiles. corrective measures to protect systems, data, and operations; typically implemented through policies, technologies, and procedures tailored to organizational risk profiles."
binary analysis analysis,"Technical concept or practice within cybersecurity and information assurance encompassing preventive, detective, and corrective measures to protect systems, data, and operations; typically implemented through policies, technologies, and procedures tailored to organizational risk profiles. corrective measures to protect systems, data, and operations; typically implemented through policies, technologies, and procedures tailored to organizational risk profiles."
binary analysis management,"Technical concept or practice within cybersecurity and information assurance encompassing preventive, detective, and corrective measures to protect systems, data, and operations; typically implemented through policies, technologies, and procedures tailored to organizational risk profiles. corrective measures to protect systems, data, and operations; typically implemented through policies, technologies, and procedures tailored to organizational risk profiles."
binary analysis monitoring,"Operational practice and tooling for collecting, correlating, and analyzing telemetry from diverse sources to detect, investigate, and respond to security events; combines automated correlation, alerting, and human analysis to reduce dwell time and support incident containment. and respond to security events; combines automated correlation, alerting, and human analysis to reduce dwell time and support incident containment."
binary analysis policy,"Organizational process or document that defines risk acceptance, controls, and compliance obligations; it structures responsibilities, assessments, and remediation to ensure security objectives align with business goals and regulatory requirements. and compliance obligations; it structures responsibilities, assessments, and remediation to ensure security objectives align with business goals and regulatory requirements."
binary analysis process,"Technical concept or practice within cybersecurity and information assurance encompassing preventive, detective, and corrective measures to protect systems, data, and operations; typically implemented through policies, technologies, and procedures tailored to organizational risk profiles. corrective measures to protect systems, data, and operations; typically implemented through policies, technologies, and procedures tailored to organizational risk profiles."
blockchain security,"Structured practice for collecting, preserving, analyzing, and documenting digital evidence using controlled procedures that maintain chain of custody and integrity; outputs support investigations and legal proceedings with reproducible methodology and reporting. controlled procedures that maintain chain of custody and integrity; outputs support investigations and legal proceedings with reproducible methodology and reporting."
blockchain security analysis,"Structured practice for collecting, preserving, analyzing, and documenting digital evidence using controlled procedures that maintain chain of custody and integrity; outputs support investigations and legal proceedings with reproducible methodology and reporting. controlled procedures that maintain chain of custody and integrity; outputs support investigations and legal proceedings with reproducible methodology and reporting."
blockchain security management,"Structured practice for collecting, preserving, analyzing, and documenting digital evidence using controlled procedures that maintain chain of custody and integrity; outputs support investigations and legal proceedings with reproducible methodology and reporting. controlled procedures that maintain chain of custody and integrity; outputs support investigations and legal proceedings with reproducible methodology and reporting."
blockchain security monitoring,"Structured practice for collecting, preserving, analyzing, and documenting digital evidence using controlled procedures that maintain chain of custody and integrity; outputs support investigations and legal proceedings with reproducible methodology and reporting. controlled procedures that maintain chain of custody and integrity; outputs support investigations and legal proceedings with reproducible methodology and reporting."
blockchain security policy,"Structured practice for collecting, preserving, analyzing, and documenting digital evidence using controlled procedures that maintain chain of custody and integrity; outputs support investigations and legal proceedings with reproducible methodology and reporting. controlled procedures that maintain chain of custody and integrity; outputs support investigations and legal proceedings with reproducible methodology and reporting."
