term,definition
Block Cipher,"Block Cipher – A cryptographic algorithm that operates on fixed-length blocks of data, such as AES (NIST SP 800-57)."
Blocklist,"Blocklist – A list of entities that are denied by default, opposite to an allowlist (NIST SP 800-179)."
Blue Team,"Blue Team – The group that defends against cyber attacks, focusing on detection, response, and recovery (SANS Glossary)."
Bootkit,"Bootkit – A type of malware that infects the boot process of a system, allowing it to load before the operating system (SANS)."
Boot Record,"Boot Record – The sector of a storage device that contains the code to start the operating system (NIST SP 800-86)."
Bot,"Bot – A compromised device that is remotely controlled by an attacker, often part of a botnet (NIST SP 800-83)."
Botnet,"Botnet – A network of compromised devices controlled by an external source, used for coordinated attacks like DDoS (NIST SP 800-83)."
Botmaster,"Botmaster – The individual or group that controls a botnet (NIST SP 800-83)."
Boundary Defense,"Boundary Defense – Security measures implemented at the perimeter of a network to protect internal resources (SANS Glossary)."
Breach,"Breach – The confirmed occurrence of unauthorized access to or disclosure of data (NIST SP 800-53)."
Bring Your Own Device (BYOD),"Bring Your Own Device (BYOD) – A policy allowing employees to use personal devices for work purposes, requiring specific security controls (NIST SP 800-124)."
Brute Force Attack,"Brute Force Attack – An attack that attempts to guess credentials or keys by trying all possible combinations systematically (OWASP)."
Buffer Overflow,"Buffer Overflow – A condition where a program attempts to write more data to a buffer than it can hold, potentially leading to arbitrary code execution (CWE-120)."
Business Continuity Plan (BCP),"Business Continuity Plan (BCP) – A plan for maintaining or resuming business functions during and after a disruption (ISO/IEC 22301)."
Business Email Compromise (BEC),"Business Email Compromise (BEC) – A type of targeted fraud where attackers impersonate executives to trick employees into transferring funds (FBI)."
Cache Poisoning,"Cache Poisoning – An attack that injects false information into a cache, such as DNS cache, to redirect traffic (RFC 1035)."
Canary Token,"Canary Token – A decoy object designed to detect unauthorized access by triggering an alert when interacted with (Thinkst Canary)."
Carving,"Carving – The process of extracting files from unallocated space or raw data without relying on file system metadata (NIST SP 800-86)."
Certificate Authority (CA),"Certificate Authority (CA) – An entity that issues digital certificates, verifying the identity of the certificate holder (RFC 5280)."
Certificate Revocation List (CRL),"Certificate Revocation List (CRL) – A list of certificates that have been revoked before their expiration date (RFC 5280)."
Chain of Custody,"Chain of Custody – The chronological documentation or paper trail that records the seizure, custody, control, transfer, analysis, and disposition of physical or electronic evidence (NIST SP 800-86)."
Challenge-Handshake Authentication Protocol (CHAP),"Challenge-Handshake Authentication Protocol (CHAP) – An authentication protocol for PPP that avoids sending passwords in cleartext (RFC 1994)."
Chief Information Security Officer (CISO),"Chief Information Security Officer (CISO) – The executive responsible for overseeing an organization's information security program (ISO/IEC 27001)."
Child Exploitation Material (CEM),"Child Exploitation Material (CEM) – Digital media depicting the sexual abuse of minors, subject to strict forensic handling (SWGDE)."
Ciphertext,"Ciphertext – Data that has been encrypted, rendering it unreadable without the proper decryption key (NIST SP 800-111)."
Clickjacking,"Clickjacking – A malicious technique for tricking a user into clicking on something different from what the user perceives they are clicking on (OWASP)."
Cloud Access Security Broker (CASB),"Cloud Access Security Broker (CASB) – A tool that acts as a gatekeeper between users and cloud services to enforce security policies (Gartner)."
Cloud Security,"Cloud Security – The set of policies, technologies, and controls to protect cloud-based systems, data, and infrastructure (NIST SP 800-144)."
Code Injection,"Code Injection – The technique of inserting malicious code into an application to execute unintended commands (OWASP)."
Code Signing,"Code Signing – The process of digitally signing executables and scripts to confirm the author and guarantee that the code has not been altered (Microsoft)."
Cold Boot Attack,"Cold Boot Attack – A type of attack that exploits the volatility of RAM by cooling it to preserve data after power-off for extraction (SANS)."
Command and Control (C2),"Command and Control (C2) – The means by which attackers maintain communication with and control over compromised systems (MITRE ATT&CK)."
Common Criteria,"Common Criteria – An international standard (ISO/IEC 15408) for computer security certification of evaluated products (NIST IR 7298 Rev. 3)."
Common Vulnerabilities and Exposures (CVE),"Common Vulnerabilities and Exposures (CVE) – A dictionary of common names (e.g., CVE-XXXX-YYYY) for publicly known cybersecurity vulnerabilities (MITRE)."
Common Vulnerability Scoring System (CVSS),"Common Vulnerability Scoring System (CVSS) – A standard for assessing the severity of vulnerabilities based on exploitability and impact (FIRST)."
Compliance,"Compliance – The adherence to laws, regulations, standards, and policies relevant to information security (ISO/IEC 27001)."
Computational Forensics,"Computational Forensics – The use of computational methods to analyze digital evidence, often involving AI and pattern recognition (SWGDE)."
Computer Emergency Response Team (CERT),"Computer Emergency Response Team (CERT) – An expert group that handles computer security incidents (NIST SP 800-61)."
Computer Security Incident Response Team (CSIRT),"Computer Security Incident Response Team (CSIRT) – A service organization that is responsible for receiving, reviewing, and otherwise responding to computer security incident reports (ENISA)."
Confidentiality,"Confidentiality – Ensuring that information is accessible only to those authorized to have access (ISO/IEC 27000:2022)."
Confidentiality, Integrity, Availability (CIA Triad),"Confidentiality, Integrity, Availability (CIA Triad) – The three key principles of information security that guide policy and control implementation (ISO/IEC 27000:2022)."
Configuration Management,"Configuration Management – The process of identifying, controlling, and tracking changes to system configurations to maintain security (NIST SP 800-128)."
Container,"Container – A lightweight, standalone, executable package that includes everything needed to run a piece of software, including code, runtime, and dependencies (Docker)."
Container Escape,"Container Escape – A technique where an attacker breaks out of a container to gain access to the host system (MITRE ATT&CK T1611)."
Content Delivery Network (CDN),"Content Delivery Network (CDN) – A system of distributed servers that deliver web content based on user location to reduce latency (RFC 6984)."
Continuous Monitoring,"Continuous Monitoring – The process of collecting, analyzing, and reporting on security-related information in an ongoing manner (NIST SP 800-137)."
Cookie,"Cookie – A piece of data sent by a web server to a browser, which the browser stores and sends back on subsequent requests to the same server (RFC 6265)."
Covert Channel,"Covert Channel – A communications channel that allows two parties to exchange information in a manner that is not intended by the system's designers (NIST SP 800-53)."
Credential Access,"Credential Access – The adversary tactic of obtaining credentials to access systems or resources (MITRE ATT&CK TA0006)."
Credential Dumping,"Credential Dumping – The technique of extracting credentials from a system's memory or files, such as LSASS process (MITRE ATT&CK T1003)."
Credential Stuffing,"Credential Stuffing – An attack using stolen username/password pairs to gain unauthorized access to user accounts (OWASP)."
Crimeware,"Crimeware – Malware designed specifically for criminal purposes, such as ransomware or banking trojans (NIST)."
Critical Infrastructure,"Critical Infrastructure – Systems and assets, whether physical or virtual, so vital that their incapacitation or destruction would have a debilitating impact on national security (NIST)."
Cross-Site Request Forgery (CSRF),"Cross-Site Request Forgery (CSRF) – An attack that forces an end user to execute unwanted actions on a web application in which they are currently authenticated (OWASP)."
Cross-Site Scripting (XSS),"Cross-Site Scripting (XSS) – A vulnerability that allows attackers to inject malicious scripts into content from otherwise trusted websites (OWASP)."
Cryptanalysis,"Cryptanalysis – The analysis of cryptographic systems to find weaknesses or break them without the key (NIST SP 800-57)."
Cryptojacking,"Cryptojacking – The unauthorized use of another person's computer to mine cryptocurrency (NIST)."
Cryptographic Hash Function,"Cryptographic Hash Function – A function that maps data of arbitrary size to a fixed-size value, with properties ensuring collision resistance and pre-image resistance (FIPS 180-4)."
Cryptography,"Cryptography – The discipline that embodies the principles, means, and methods for the transformation of data to hide its semantic content, protect its integrity or prove its authenticity (NIST SP 800-175B)."
Cryptoshredding,"Cryptoshredding – The destruction of encryption keys to render encrypted data unrecoverable, effectively erasing it (NIST SP 800-88)."
Cyber Kill Chain,"Cyber Kill Chain – A model describing the stages of a cyber attack: reconnaissance, weaponization, delivery, exploitation, installation, command and control, and actions on objectives (Lockheed Martin, referenced in MITRE ATT&CK)."
Cyber Threat Intelligence (CTI),"Cyber Threat Intelligence (CTI) – Evidence-based knowledge, including context, mechanisms, indicators, implications, and actionable advice about an existing or emerging threat to assets (NIST SP 800-150)."
Cybercalifrage,"Cybercalifrage – The technique of hiding malicious activity in plain sight by mimicking legitimate behavior (SANS)."
Data Breach,"Data Breach – The unauthorized acquisition, access, use, or disclosure of sensitive data (NIST SP 800-53)."
Data Center,"Data Center – A facility used to house computer systems and associated components, such as telecommunications and storage systems (NIST)."
Data Classification,"Data Classification – The process of organizing data into categories based on sensitivity for purposes of applying security controls (NIST SP 800-60)."
Data Diode,"Data Diode – A hardware device that enforces unidirectional data flow to prevent data leakage (NIST)."
Data Exfiltration,"Data Exfiltration – The unauthorized transfer of data from a system outside the network perimeter (MITRE ATT&CK TA0010)."
Data Integrity,"Data Integrity – The property that data has not been altered in an unauthorized manner (ISO/IEC 27000:2022)."
Data Leakage,"Data Leakage – The intentional or unintentional release of data from within an organization to an external destination (NIST SP 800-53)."
Data Loss Prevention (DLP),"Data Loss Prevention (DLP) – Technologies and processes to detect and prevent unauthorized use or transmission of sensitive data (NIST SP 800-53)."
Data Masking,"Data Masking – The process of obscuring sensitive data by replacing it with realistic but fictional data (NIST)."
Data Minimization,"Data Minimization – The principle of collecting and retaining only the data necessary for the specified purpose (GDPR, referenced in ISO/IEC 27018)."
Data Obfuscation,"Data Obfuscation – Techniques to hide or disguise the meaning of data to prevent unauthorized access (NIST)."
Data Protection,"Data Protection – The process of safeguarding important data from corruption, compromise, or loss (ISO/IEC 27018)."
Data Retention,"Data Retention – Policies specifying how long data must be kept and when it can be deleted (NIST SP 800-53)."
Data Sanitization,"Data Sanitization – The process of deliberately, permanently, and irreversibly removing or destroying data from media (NIST SP 800-88)."
Data Spillage,"Data Spillage – The transfer of classified or sensitive information to an information system that does not have the appropriate security controls (NIST)."
Data Sovereignty,"Data Sovereignty – The concept that data is subject to the laws and governance of the nation in which it is collected (NIST)."
Data Steganography,"Data Steganography – The practice of concealing a file, message, or image within another file, message, or image (NIST)."
Data Warehouse,"Data Warehouse – A repository of integrated data from multiple sources, used for reporting and analysis (NIST)."
Database Forensics,"Database Forensics – The application of forensic techniques to database systems to recover and analyze data (NIST SP 800-86)."
Dead Box Forensics,"Dead Box Forensics – Forensic analysis performed on a powered-off device, focusing on static data (NIST SP 800-86)."
Decentralized Identifier (DID),"Decentralized Identifier (DID) – A new type of identifier that enables verifiable, decentralized digital identity (W3C)."
Decoy,"Decoy – A system or data set designed to lure attackers away from real assets or to detect intrusions (NIST SP 800-83)."
Decryption,"Decryption – The reversal of the encryption process to convert ciphertext back to plaintext (NIST SP 800-111)."
Defense in Depth,"Defense in Depth – The practice of layering multiple security controls to protect assets, ensuring that if one fails, others remain (NSA/NIST)."
Demilitarized Zone (DMZ),"Demilitarized Zone (DMZ) – A network zone that sits between an organization's internal network and an external network, hosting public-facing services (NIST SP 800-41)."
Denial of Service (DoS),"Denial of Service (DoS) – An action that impairs the authorized use of networks, systems, or applications (NIST SP 800-61)."
Deny All,"Deny All – A default security policy that blocks all access unless explicitly permitted (NIST SP 800-41)."
Deprecation,"Deprecation – The discouragement of use of a feature or technology in favor of newer alternatives (NIST)."
Detection Engineering,"Detection Engineering – The practice of designing, developing, and maintaining detection rules to identify threats (SANS)."
Diameter,"Diameter – A protocol for authentication, authorization, and accounting (AAA) in modern networks, successor to RADIUS (RFC 6733)."
Dictionary Attack,"Dictionary Attack – A type of brute force attack using a predefined list of words or phrases (OWASP)."
Differential Privacy,"Differential Privacy – A mathematical technique for providing privacy guarantees when releasing statistical data (NIST)."
Digital Evidence,"Digital Evidence – Information and data of investigative value that is stored or transmitted in digital form (SWGDE)."
Digital Forensics,"Digital Forensics – The process of collecting, preserving, analyzing, and presenting digital evidence in a manner that is legally admissible (NIST SP 800-86)."
Digital Rights Management (DRM),"Digital Rights Management (DRM) – Technologies that control the use of digital content after sale (NIST)."
Digital Signature,"Digital Signature – Data appended to a message to provide assurance of origin and integrity (FIPS 186-5)."
Digital Signature Algorithm (DSA),"Digital Signature Algorithm (DSA) – A public-key algorithm for generating and verifying digital signatures (FIPS 186)."
Digital Watermarking,"Digital Watermarking – Embedding information in digital media to assert ownership or integrity (NIST)."
Directory Services,"Directory Services – Systems that store and organize information about users and resources for authentication (NIST)."
Directory Traversal,"Directory Traversal – A vulnerability allowing access to files outside the intended directory (OWASP)."
Disaster Recovery Plan (DRP),"Disaster Recovery Plan (DRP) – A plan for restoring IT operations after a disaster (NIST SP 800-34)."
Discretionary Access Control (DAC),"Discretionary Access Control (DAC) – Access control where the owner of a resource determines who can access it (NIST SP 800-53)."
Distributed Denial of Service (DDoS),"Distributed Denial of Service (DDoS) – A DoS attack using multiple compromised systems to flood a target (NIST SP 800-61)."
DNS Amplification,"DNS Amplification – A DDoS attack exploiting DNS queries to generate large responses from small requests (US-CERT)."
DNS Hijacking,"DNS Hijacking – Redirecting DNS queries to malicious servers to control traffic (MITRE ATT&CK)."
DNS Security Extensions (DNSSEC),"DNS Security Extensions (DNSSEC) – A suite of extensions to DNS adding security through authentication (RFC 4033)."
DNS Tunneling,"DNS Tunneling – Encapsulating non-DNS traffic in DNS queries to bypass firewalls (MITRE ATT&CK T1071.004)."
Domain Generation Algorithm (DGA),"Domain Generation Algorithm (DGA) – An algorithm used by malware to generate domain names for command and control (SANS)."
Domain Name System (DNS),"Domain Name System (DNS) – A hierarchical and decentralized naming system for computers on the Internet (RFC 1035)."
Drive-by Download,"Drive-by Download – Malware downloaded automatically when visiting a compromised website (OWASP)."
Drive Imaging,"Drive Imaging – Creating a bit-for-bit copy of a storage device for forensic analysis (NIST SP 800-86)."
Dumpster Diving,"Dumpster Diving – Searching through trash for discarded sensitive information (SANS)."
Dynamic Analysis,"Dynamic Analysis – The examination of malware by executing it in a controlled environment to observe behavior (SANS)."
Dynamic Host Configuration Protocol (DHCP),"Dynamic Host Configuration Protocol (DHCP) – A protocol for assigning IP addresses dynamically (RFC 2131)."
E-Discovery,"E-Discovery – The process of identifying, collecting, and producing electronically stored information for legal proceedings (FRCP)."
Eavesdropping,"Eavesdropping – The unauthorized interception of communications (RFC 4949)."
Edge Computing,"Edge Computing – Processing data near the source to reduce latency and bandwidth use (NIST)."
Electronic Code Book (ECB),"Electronic Code Book (ECB) – A block cipher mode where each block is encrypted independently (NIST SP 800-57)."
Elliptic Curve Cryptography (ECC),"Elliptic Curve Cryptography (ECC) – A form of public-key cryptography based on elliptic curves (NIST SP 800-56A)."
Encapsulating Security Payload (ESP),"Encapsulating Security Payload (ESP) – An IPsec protocol providing confidentiality, integrity, and authentication (RFC 4303)."
Encryption,"Encryption – The cryptographic transformation of data (plaintext) to produce ciphertext (NIST SP 800-111)."
Endpoint Detection and Response (EDR),"Endpoint Detection and Response (EDR) – Tools for monitoring endpoints to detect and respond to threats (Gartner)."
Endpoint Privilege Management,"Endpoint Privilege Management – Controlling privileged access on endpoints to minimize risk (NIST SP 800-53)."
Endpoint Security,"Endpoint Security – Protection of devices like laptops and mobiles from threats (NIST)."
Evil Twin,"Evil Twin – A rogue Wi-Fi access point mimicking a legitimate one to steal data (OWASP)."
Exfiltration Over C2 Channel,"Exfiltration Over C2 Channel – Transferring stolen data using command and control infrastructure (MITRE ATT&CK T1041)."
Exploit,"Exploit – A piece of software, data, or sequence of commands that takes advantage of a vulnerability (MITRE ATT&CK)."
Exploit Kit,"Exploit Kit – A toolkit for automating the delivery and exploitation of vulnerabilities (SANS)."
Extended Access Control List (EACL),"Extended Access Control List (EACL) – An ACL that includes source/destination IP, protocol, and port details (Cisco)."
Extended Detection and Response (XDR),"Extended Detection and Response (XDR) – An integrated platform combining data from multiple sources for threat detection (Gartner)."
Extended Validation Certificate (EV SSL),"Extended Validation Certificate (EV SSL) – A certificate requiring rigorous verification of the applicant's identity (CA/Browser Forum)."
Extensible Authentication Protocol (EAP),"Extensible Authentication Protocol (EAP) – A framework for authentication in wireless networks (RFC 3748)."
Fail-Safe,"Fail-Safe – A design feature that automatically puts a system into a safe state upon failure (NIST SP 800-53)."
Fail2ban,"Fail2ban – An intrusion prevention tool that bans IPs after repeated failed login attempts (Open Source)."
False Positive,"False Positive – An alert indicating a potential threat when no actual threat exists (NIST SP 800-94)."
False Negative,"False Negative – A failure to detect an actual threat or vulnerability (NIST SP 800-94)."
Federated Identity,"Federated Identity – A system where a user's identity is shared across multiple organizations (NIST SP 800-63C)."
Federation,"Federation – The establishment of trust relationships between identity providers (SAML)."
File Allocation Table (FAT),"File Allocation Table (FAT) – A file system used by older Windows versions for organizing files on disks (NIST)."
File Carving,"File Carving – Recovering files from digital media without using file system metadata (NIST SP 800-86)."
File Integrity Monitoring (FIM),"File Integrity Monitoring (FIM) – Continuous surveillance of files to detect changes (NIST SP 800-53)."
File Slack,"File Slack – The unused portion of the last allocated cluster for a file, which may contain residual data (NIST SP 800-86)."
File System Forensics,"File System Forensics – The analysis of file system structures to recover data and metadata (Carrier's File System Forensic Analysis)."
Fileless Malware,"Fileless Malware – Malicious code that operates in memory without writing files to disk (SANS)."
Firewall,"Firewall – A network device that monitors and controls incoming and outgoing traffic based on security rules (NIST SP 800-41)."
Firmware,"Firmware – Software embedded in hardware devices to control their operation (NIST)."
Forensic Bridge,"Forensic Bridge – A hardware device used as a write-blocker in forensic acquisitions (NIST)."
Forensic Copy,"Forensic Copy – An exact duplicate of digital evidence, preserving all data (NIST SP 800-86)."
Forensic Duplication,"Forensic Duplication – The process of creating multiple copies of evidence for analysis while maintaining integrity (SWGDE)."
Forensic Hash,"Forensic Hash – A cryptographic hash used to verify the integrity of forensic images (NIST SP 800-86)."
Forensic Image,"Forensic Image – A bit-for-bit copy of a storage device used as evidence (NIST SP 800-86)."
Forensic Toolkit (FTK),"Forensic Toolkit (FTK) – Commercial software for digital forensic investigations (AccessData)."
Forensically Sound,"Forensically Sound – A method or process that ensures evidence is not altered and is admissible in court (NIST SP 800-86)."
Format String Attack,"Format String Attack – An attack exploiting poor input validation in format functions to read or write memory (CWE-134)."
Forward Secrecy,"Forward Secrecy – A property ensuring that session keys are not compromised if long-term keys are (NIST SP 800-57)."
Full Disk Encryption (FDE),"Full Disk Encryption (FDE) – Encryption of an entire disk drive, protecting data at rest (NIST SP 800-111)."
Fuzzing,"Fuzzing – Automated software testing technique using invalid or random data as inputs to find vulnerabilities (OWASP)."
Gateway,"Gateway – A network node that connects two different networks, often performing protocol translation (NIST)."
General Data Protection Regulation (GDPR),"General Data Protection Regulation (GDPR) – EU regulation on data protection and privacy for individuals (EU 2016/679)."
Geofencing,"Geofencing – Location-based monitoring using GPS to define virtual boundaries (NIST)."
Golden Ticket,"Golden Ticket – A forged Kerberos ticket granting unlimited access in Active Directory (MITRE ATT&CK T1558.001)."
Governance,"Governance – The framework of rules, practices, and processes by which an organization ensures accountability (ISO/IEC 27001)."
Gray Hat,"Gray Hat – A hacker who operates between white hat and black hat, often disclosing vulnerabilities for reward (SANS)."
Group Policy,"Group Policy – A feature of Windows Active Directory for enforcing settings on users and computers (Microsoft)."
Guideline,"Guideline – A recommended course of action for using a control (ISO/IEC 27002)."
Hard Disk Encryption,"Hard Disk Encryption – Encrypting data on a hard drive to protect against unauthorized access (NIST SP 800-111)."
Hardening,"Hardening – The process of securing a system by reducing its attack surface (NIST SP 800-123)."
Hash Catastrophe,"Hash Catastrophe – A situation where a hash collision allows attackers to forge data (NIST)."
Hash Value,"Hash Value – The output of a hash function, used to verify data integrity (FIPS 180-4)."
Hashcat,"Hashcat – An advanced password recovery utility supporting various hash types (Hashcat)."
Header Manipulation,"Header Manipulation – Altering protocol headers to bypass security controls (MITRE ATT&CK)."
Health Insurance Portability and Accountability Act (HIPAA),"Health Insurance Portability and Accountability Act (HIPAA) – US law protecting health information privacy (US)."
High Availability,"High Availability – System design ensuring continuous operation with minimal downtime (NIST)."
Honeynet,"Honeynet – A network of honeypots used to attract and study attackers (NIST SP 800-83)."
Honeypot,"Honeypot – A decoy system designed to detect unauthorized access by attracting attackers (NIST SP 800-83)."
Host-Based Intrusion Detection System (HIDS),"Host-Based Intrusion Detection System (HIDS) – A system monitoring a single host for malicious activity (NIST SP 800-94)."
Host-Based Intrusion Prevention System (HIPS),"Host-Based Intrusion Prevention System (HIPS) – A HIDS that can also block detected threats (NIST SP 800-94)."
Host File,"Host File – A local file overriding DNS resolution for specific domains (NIST)."
Hot Swapping,"Hot Swapping – Replacing components without shutting down the system (NIST)."
Hybrid Cloud,"Hybrid Cloud – A cloud infrastructure combining private and public clouds (NIST SP 800-146)."
Hypervisor,"Hypervisor – Software, firmware, or hardware that creates and runs virtual machines (NIST SP 800-125)."
Identity and Access Management (IAM),"Identity and Access Management (IAM) – The framework for managing digital identities and their access to resources (NIST SP 800-63)."
Identity Provider (IdP),"Identity Provider (IdP) – A system that creates, maintains, and manages identity information (SAML)."
Identity Theft,"Identity Theft – The fraudulent use of another's identity for gain (NIST)."
IEEE 802.1X,"IEEE 802.1X – A standard for port-based network access control (IEEE)."
Image Forensics,"Image Forensics – The analysis of digital images to determine authenticity or alterations (SWGDE)."
Impersonation,"Impersonation – Pretending to be another entity to gain unauthorized access (MITRE ATT&CK)."
Incident,"Incident – An occurrence that actually or imminently jeopardizes the confidentiality, integrity, or availability of an information system (NIST SP 800-61)."
Incident Handler,"Incident Handler – An individual who identifies, analyzes, and responds to security incidents (NIST SP 800-61)."
